CAPTRADE,RENEWABLES,LANDCONSERVATION,EDUCATION,INCOME,AGE,GENDER,PARTYID
4,5,5,3,3,30,1,3
3,4,3,3,2,25,2,3
3,4,4,4,5,27,1,3
3,5,5,3,6,48,1,2
3,5,5,4,2,23,2,2
4,4,4,2,1,27,1,2
3,5,5,3,6,19,1,3
5,5,5,4,2,23,1,2
4,4,4,4,4,36,2,2
4,3,4,3,3,24,1,2
3,4,2,3,5,49,1,3
4,4,4,2,4,21,2,2
3,3,3,4,4,26,1,3
4,4,4,3,2,25,2,4
5,5,4,2,3,22,1,3
4,5,4,5,2,26,1,3
5,5,5,4,4,25,1,2
5,5,5,4,4,33,2,2
2,4,2,4,3,29,1,3
3,3,3,4,4,29,2,3
5,5,4,4,4,31,2,3
3,4,4,3,3,27,1,3
5,5,5,4,2,46,1,2
4,5,4,4,4,27,1,2
4,5,3,3,2,27,2,2
3,4,4,3,2,43,2,3
3,4,5,4,4,33,1,2
4,5,4,4,1,31,2,3
4,5,5,4,3,30,1,2
3,5,5,4,3,30,1,2
4,3,2,2,3,23,1,2
4,3,4,3,2,20,1,3
4,5,4,4,3,30,2,2
2,5,4,5,5,41,1,2
3,5,5,4,3,70,2,2
4,4,4,3,2,23,1,3
4,4,3,3,6,19,1,2
4,3,4,5,2,33,2,2
4,4,3,3,3,24,1,2
5,5,5,4,6,68,1,2
4,5,4,3,2,23,2,3
4,5,5,5,6,31,1,2
4,4,4,2,2,21,1,2
3,3,4,2,3,30,1,2
4,4,4,3,5,29,1,2
4,3,3,3,6,23,1,3
4,4,4,4,6,28,1,3
2,4,4,4,4,34,1,3
4,3,5,4,4,33,1,3
3,4,4,4,2,32,1,3
4,5,5,4,4,24,2,2
4,5,4,4,6,31,1,2
3,3,4,4,3,29,2,2
1,1,2,2,2,37,1,4
5,5,4,2,2,32,1,3
5,5,5,4,4,27,1,2
2,4,4,3,2,48,1,3
5,5,5,3,2,35,2,3
4,5,4,5,5,26,1,2
5,5,5,5,2,26,1,2
3,3,3,3,5,27,2,3
4,5,4,4,3,28,1,2
3,5,5,3,2,21,1,3
2,4,5,3,4,36,1,3
4,5,5,4,4,36,2,3
5,5,5,4,4,25,1,2
3,5,4,3,5,33,1,3
4,4,4,4,2,28,2,2
3,5,4,3,2,57,2,2
3,3,3,3,3,19,1,2
4,5,5,3,3,20,1,3
4,4,4,3,2,50,1,2
3,4,3,2,2,25,1,3
4,5,4,4,6,24,2,2
3,4,4,3,4,29,1,2
3,5,3,4,2,28,2,2
5,5,4,2,1,26,1,3
3,5,4,4,4,32,1,3
3,5,5,2,3,27,1,3
1,4,4,4,4,40,1,3
3,2,3,3,3,28,2,2
4,5,5,4,2,60,1,2
5,5,5,3,3,27,2,2
3,3,4,3,4,22,1,2
4,4,4,3,4,36,2,2
2,2,2,3,4,35,2,1
5,5,5,5,2,26,1,3
4,4,4,4,2,21,2,2
3,3,3,2,1,62,2,3
3,5,5,3,3,27,1,2
5,4,4,4,2,25,2,3
5,5,5,4,5,37,2,2
4,4,4,4,3,25,1,2
4,4,4,3,1,25,2,3
2,4,3,4,6,47,2,1
4,4,4,4,4,28,2,2
3,4,4,3,1,22,1,2
4,4,5,3,4,26,2,2
2,2,4,3,6,18,1,3
4,3,4,3,2,22,2,1
1,5,5,4,2,30,1,3
4,5,5,5,5,26,2,2
5,5,5,2,3,27,2,3
4,5,5,3,3,40,2,3
4,5,4,3,2,28,1,3
3,3,3,3,1,26,1,4
1,3,5,4,3,34,2,4
1,2,2,4,5,48,1,3
3,3,3,4,4,27,1,3
4,4,5,5,3,32,2,2
1,3,2,3,5,28,1,3
3,4,4,3,4,35,2,3
4,4,4,2,2,27,2,1
4,5,4,3,3,58,1,3
2,2,4,4,4,36,1,1
3,4,3,2,3,26,2,2
4,4,4,4,5,27,1,1
3,4,4,4,4,32,2,1
3,4,3,4,3,25,2,3
4,3,5,3,3,42,2,3
3,4,4,3,2,32,1,3
4,3,3,3,4,50,1,3
3,4,4,4,3,26,1,1
5,4,5,4,3,32,2,3
4,2,4,4,4,62,1,2
2,2,2,4,4,26,1,1
5,5,4,4,1,23,1,2
3,5,4,4,3,52,2,2
4,3,4,4,4,38,1,1
3,3,3,4,3,24,1,2
1,1,1,4,2,32,1,3
4,4,4,3,1,47,1,2
3,3,3,3,4,23,1,4
5,5,5,4,3,27,2,3
4,4,4,4,3,28,1,3
5,5,5,4,2,63,2,3
3,5,5,3,2,25,1,2
4,3,2,3,2,24,2,1
3,3,3,3,4,51,2,1
1,1,3,3,6,60,1,3
5,5,5,3,3,36,1,2
4,5,4,4,4,33,2,1
3,5,5,4,6,31,1,2
4,5,5,4,2,25,1,2
4,5,4,2,3,22,2,2
3,5,5,5,3,34,2,4
4,4,4,3,2,24,2,3
4,5,4,2,4,25,2,3
3,3,1,2,3,29,1,1
4,3,5,4,2,28,2,3
4,4,4,4,3,28,1,2
5,5,3,4,3,25,2,3
3,3,4,4,3,35,2,3
3,4,4,4,3,30,1,2
4,5,5,4,3,24,2,3
4,5,4,3,3,54,2,1
3,4,4,4,6,42,2,2
5,5,5,4,2,33,1,2
4,4,3,4,5,23,1,2
4,5,5,4,5,33,1,3
3,4,4,4,6,47,2,2
5,5,3,2,2,26,2,3
3,5,5,4,5,37,2,2
4,5,5,5,1,31,1,2
4,4,4,4,3,31,1,3
2,3,3,3,2,25,1,3
3,2,1,4,3,28,1,1
3,5,5,4,5,26,1,2
5,5,5,3,2,30,1,2
5,5,5,3,1,22,1,2
4,4,5,3,4,20,2,2
3,2,4,4,2,60,1,3
3,4,2,3,1,19,1,3
3,4,4,4,4,30,1,2
3,2,3,5,6,39,1,3
5,5,5,4,6,25,1,2
3,5,5,4,4,23,1,2
5,5,5,4,3,38,1,3
3,4,4,1,1,25,2,3
5,4,5,5,5,46,2,2
3,3,4,3,2,56,2,2
4,4,3,4,6,43,2,1
3,3,3,4,3,45,2,3
4,4,4,2,5,66,2,1
1,1,1,3,4,62,1,3
4,5,4,5,3,29,1,3
4,4,4,2,3,55,1,2
3,4,4,3,3,44,1,3
3,1,5,5,5,44,1,3
4,4,5,3,4,43,1,3
3,4,4,4,4,25,1,2
